PC;Etapa 1 Fase 3;1;2;3;4;5;X1
Inspeções;rotinas operacionais;X;X;X;X;X;X
Partida;rotinas operacionais;X;X;X;X;X;X
Cheques;rotinas operacionais;X;X;X;X;X;X
Fraseologia aeronáutica;fraseologia aeronáutica;X;X;X;X;X;X
Rolagem;performance da aeronave, operação da aeronave;X;X;X;X;X;X
Decolagem normal;performance da aeronave, operação da aeronave;X;X;;;X;X
Decolagem com obstáculos;performance da aeronave, operação da aeronave;;;A;E;;X
Saída do tráfego;operação da aeronave, circuito de tráfego;X;X;X;X;X;X
Subida para a área de instrução;performance da aeronave, operação da aeronave;X;X;X;X;X;X
Nivelamento;operação da aeronave;X;X;X;X;X;X
Curvas de grande inclinação;performance da aeronave, operação da aeronave;A;X;;X;;X
Chandelle;chandelle;A;E;E;X;;X
Reversement;reversement;A;E;E;X;;X
Voo em retângulo;operação da aeronave, circuito de tráfego;X;X;X;X;X;X
S sobre estrada;operação da aeronave, S sobre estrada;A;E;E;X;X;X
Pane simulada;rotinas operacionais, operação da aeronave, recuperação de panes;;;A;;;
Pane após decolagem;rotinas operacionais, operação da aeronave, recuperação de panes;;;A;;;
Glissagem;operação da aeronave;;A;E;E;X;X
Derrapagem;operação da aeronave;;A;E;E;X;X
Oito preguiçoso;oito preguiçoso,  manobras;X;;X;;X;X
Oito sobre marcos;oito sobre marcos,  manobras;X;;X;;X;X
Arremetida no ar;operação da aeronave;;A;;E;;X
Descida para o tráfego;operação da aeronave, circuito de tráfego;X;X;X;X;X;X
Entrada no tráfego;circuito de tráfego;X;X;X;X;X;X
Tráfego;circuito de tráfego;X;X;X;X;X;X
Pouso normal;performance da aeronave, operação da aeronave;X;X;X;X;X;X
Pouso curto;performance da aeronave, operação da aeronave;;;A;;;X
Pousos com flap;performance da aeronave, operação da aeronave;;;A;;;
Procedimentos após o pouso;rotinas operacionais;X;X;X;X;X;X
Estacionamento;rotinas operacionais;X;X;X;X;X;X
Corte do motor;rotinas operacionais;X;X;X;X;X;X
Ads;;SSKM;SSKM;SSKM;SSKM;SSKM;SSKM
Route;;Voo local;Voo local;Voo local;Voo local;Voo local;Voo local
Tipo de voo;;DC;SOLO;DC;DC;SOLO;DC
Duração;;1;1;1;1;1;1
Número de pousos;;4;4;4;4;4;4
