PC;Etapa 2 Fase 1;1;2;3;4;X1
Planejamento;planejamento de voo;A;E;E;X;X
Preparo do avião;rotinas operacionais;A;E;E;X;X
Consulta à meteorologia;meteorologia;A;E;E;X;X
Regras de tráfego aéreo;regras de tráfego aéreo;A;E;E;X;X
Plano/Notificação de voo;preenchimento de plano/notificação de voo;A;E;E;X;X
Relatórios e equipamentos de voo;equipamentos a bordo e suas capacidades;A;E;E;X;X
Inspeções;rotinas operacionais;X;X;X;X;X
Partida;rotinas operacionais;X;X;X;X;X
Cheques;rotinas operacionais;X;X;X;X;X
Fraseologia aeronáutica;fraseologia aeronáutica;A;E;E;X;X
Rolagem;operação da aeronave, performance da aeronave;X;X;X;X;X
Decolagem;operação da aeronave, performance da aeronave;X;X;X;X;X
Saída de tráfego;operação da aeronave, circuito de tráfego;A;E;E;X;X
Subida (de acordo com órgão de controle);coordenação com órgão ATC, regras de tráfego aéreo;A;E;E;X;X
Nivelamento;operação da aeronave;X;X;X;X;X
Regime de cruzeiro;operação da aeronave, performance da aeronave;A;E;E;X;X
Voo de cruzeiro;operação da aeronave, performance da aeronave;A;E;E;X;X
Manutenção de proa;operação da aeronave;A;E;E;X;X
Voo em rota;operação da aeronave, rotinas operacionais;A;E;E;X;X
Navegação estimada;navegação estimada;A;E;E;X;X
Navegação por contato;navegação por contato;A;E;E;X;X
Início da descida;operação da aeronave;X;X;X;X;X
Descida em rota;operação da aeronave;A;E;E;X;X
Entrada no tráfego;circuito de tráfego,  regras de tráfego aéreo;A;E;E;X;X
Tráfego;circuito de tráfego,  regras de tráfego aéreo;X;X;X;X;X
Pousos;operação da aeronave, performance da aeronave;X;X;X;X;X
Procedimentos após o pouso;rotinas operacionais;X;X;X;X;X
Estacionamento;rotinas operacionais;X;X;X;X;X
Corte do motor;rotinas operacionais;X;X;X;X;X
Procedimento para pernoite;rotinas operacionais;A;E;E;X;X
Ads;;SSKM, SBLO;SSKM, SBMG, SBLO;SSKM, SSGG;SSKM, SBLO;SSKM, SSGG
Route;;SSKM SBLO SSKM;SSKM SBMG SBLO SSKM;SSKM SSGG SSKM;SSKM SBLO SSKM;SSKM SSGG SSKM
Tipo de voo;;DC;SOLO;SOLO;SOLO;DC
Duração;;2;3;3;2;3
Números de pousos;;2;2;2;2;3
