PC;Etapa 2 Fase 3;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;X1
Relatório e equipamento de voo;equipamentos a bordo e suas capacidades;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Inspeções;rotinas operacionais;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Partida;rotinas operacionais;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Cheques e Fraseologia;rotinas operacionais, fraseologia aeronáutica;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Táxi (quando aplicável);regras de tráfego aéreo;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Decolagem normal;operação da aeronave, performance da aeronave;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Subida por instrumentos;regras de tráfego aéreo;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Curvas niveladas de pequena inclinação;operação da aeronave, performance da aeronave;M;C;E;X;;;;;;;;;;;;X;X
Voo nivelado;operação da aeronave, performance da aeronave;M;C;E;X;X;;;;;;;;;;;X;X
Interpretação dos instrumentos;interpretação de instrumentos embarcados;M;C;E;X;X;;;;;;;;;;;X;X
Curvas Niveladas de Média e Grande Inclinação;operação da aeronave, performance da aeronave;;M;C;E;X;;;;;;;;;;;X;X
Curva padrão;operação da aeronave, performance da aeronave;;;M;E;X;;;;;;;;;;;X;X
Curva cronometrada;operação da aeronave, performance da aeronave;;;M;E;X;;;;;;;;;;;X;X
Curva Cron. subindo-veloc. constante;operação da aeronave, performance da aeronave;;;;M;M;C;E;X;;;;;;;;X;X
Curva Cron. descendo-veloc. constante;operação da aeronave, performance da aeronave;;;;M;M;C;E;X;;;;;;;;X;X
"S Verticais A; B; C e D";operação da aeronave, performance da aeronave, S verticais;;;;M;M;C;E;X;;;;;;;;X;X
Tráfego A e B;regras de tráfego aéreo;;;;;M;C;E;X;;;;;;;;X;X
Recuperação de atitudes anormais;recuperação de atitudes anormais;;;;;;M;C;E;E;X;;;;;;X;X
Mudanças de QDM e QDR;utilização do ADF, navegação NDB;;;;;;M;C;E;E;X;;;;;;X;X
Entrada em órbita NDB;utilização do ADF, navegação NDB, órbitas;;;;;;M;C;E;E;X;;;;;;X;X
Órbita NDB;utilização do ADF, navegação NDB, órbitas;;;;;;;;M;C;E;E;X;X;;;X;X
Procedimento de espera;órbitas;;;;;;;;;;M;C;E;X;X;X;X;X
Mudanças de radial (TO/FROM);utilização do CDI, navegação VOR;;;;;;;M;C;E;E;E;X;X;X;X;X;X
Entrada em órbita VOR;utilização do CDI, navegação VOR, órbitas;;;;;;;;M;C;M;C;E;X;X;X;X;X
Órbita VOR;utilização do CDI, navegação VOR, órbitas;;;;;;;;M;C;M;C;E;X;X;X;X;X
Curvas de reversão;curvas de reversão;;;;;;;;M;C;M;C;E;X;X;X;X;X
Procedimentos de descida ADF;aproximações de não precisão;;;;;;;;;;M;C;E;X;;;X;X
Procedimentos de descida VOR/ILS;aproximações de não precisão, aproximações de precisão;;;;;;;;;;;M;C;E;X;X;X;X
Arremetida por instrumentos;procedimento de aproximação perdida;;;;;;;;;;M;C;E;X;;;X;X
Aproximação por instrumentos nos mínimos especificados;aproximações de não precisão, aproximações de precisão;;;;;;;;;;M;C;E;X;X;X;X;X
Cálculo de Tempo para a estação;cálculo de estimativa de tempo e distância;;;;;;;;M;M;;;;;;;;X
Descida;operação da aeronave, regras de tráfego aéreo;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Tráfego;regras de tráfego aéreo;X;X;X;X;X;X;X;X;X;X;X;;;;;;
Pouso a partir de aproximação por instrumentos;operação da aeronave, regras de tráfego aéreo, performance da aeronave;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Fraseologia aeronáutica;fraseologia aeronáutica;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
ads;;SSKM;SSKM;SSKM;SSKM;SSKM;SSKM;SSKM;SSKM, SBMG;SSKM, SBMG;SSKM, SBMG;SSKM, SBMG;SSKM, SBMG;SSKM, SBMG;SSKM, SBMG;SSKM, SBMG;SSKM, SBMG;SSKM, SBMG
route;;Voo local;Voo local;Voo local;Voo local;Voo local;Voo local;Voo local;SSKM SBMG SSKM ;SSKM SBMG SSKM ;SSKM SBMG SSKM ;SSKM SBMG SSKM ;SSKM SBMG SSKM ;SSKM SBMG SSKM ;SSKM SBMG SSKM ;SSKM SBMG SSKM ;SSKM SBMG SSKM ;SSKM SBMG SSKM 
Tipo de voo;;DC;DC;DC;DC;DC;DC;DC;DC;DC;DC;DC;DC;DC;DC;DC;DC;DC
Duração;;1;1;1;1;1;01:30;01:30;01:30;01:30;1;1;01:30;01:30;01:30;01:30;01:30;01:30
Número de voo;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
